,ds,60657zip,Recession,Month,Year
0,1996-01-31,364892.0,False,1,1996
1,1996-02-29,364162.0,False,2,1996
2,1996-03-31,363605.0,False,3,1996
3,1996-04-30,362963.0,False,4,1996
4,1996-05-31,361660.0,False,5,1996
5,1996-06-30,361342.0,False,6,1996
6,1996-07-31,360662.0,False,7,1996
7,1996-08-31,361804.0,False,8,1996
8,1996-09-30,363561.0,False,9,1996
9,1996-10-31,366592.0,False,10,1996
10,1996-11-30,370077.0,False,11,1996
11,1996-12-31,372842.0,False,12,1996
12,1997-01-31,376806.0,False,1,1997
13,1997-02-28,380122.0,False,2,1997
14,1997-03-31,384081.0,False,3,1997
15,1997-04-30,385663.0,False,4,1997
16,1997-05-31,389062.0,False,5,1997
17,1997-06-30,389359.0,False,6,1997
18,1997-07-31,390182.0,False,7,1997
19,1997-08-31,388087.0,False,8,1997
20,1997-09-30,385729.0,False,9,1997
21,1997-10-31,381688.0,False,10,1997
22,1997-11-30,377848.0,False,11,1997
23,1997-12-31,376493.0,False,12,1997
24,1998-01-31,374914.0,False,1,1998
25,1998-02-28,375094.0,False,2,1998
26,1998-03-31,375012.0,False,3,1998
27,1998-04-30,378067.0,False,4,1998
28,1998-05-31,380789.0,False,5,1998
29,1998-06-30,386605.0,False,6,1998
30,1998-07-31,392801.0,False,7,1998
31,1998-08-31,400292.0,False,8,1998
32,1998-09-30,408057.0,False,9,1998
33,1998-10-31,416827.0,False,10,1998
34,1998-11-30,425087.0,False,11,1998
35,1998-12-31,432120.0,False,12,1998
36,1999-01-31,436962.0,False,1,1999
37,1999-02-28,441150.0,False,2,1999
38,1999-03-31,444482.0,False,3,1999
39,1999-04-30,447753.0,False,4,1999
40,1999-05-31,450885.0,False,5,1999
41,1999-06-30,455497.0,False,6,1999
42,1999-07-31,461395.0,False,7,1999
43,1999-08-31,467344.0,False,8,1999
44,1999-09-30,472584.0,False,9,1999
45,1999-10-31,477269.0,False,10,1999
46,1999-11-30,482728.0,False,11,1999
47,1999-12-31,487609.0,False,12,1999
48,2000-01-31,494719.0,False,1,2000
49,2000-02-29,501675.0,False,2,2000
50,2000-03-31,509751.0,False,3,2000
51,2000-04-30,516037.0,False,4,2000
52,2000-05-31,522884.0,False,5,2000
53,2000-06-30,528435.0,False,6,2000
54,2000-07-31,534252.0,False,7,2000
55,2000-08-31,540262.0,False,8,2000
56,2000-09-30,545385.0,False,9,2000
57,2000-10-31,550534.0,False,10,2000
58,2000-11-30,555476.0,False,11,2000
59,2000-12-31,562119.0,False,12,2000
60,2001-01-31,568170.0,False,1,2001
61,2001-02-28,573485.0,False,2,2001
62,2001-03-31,578283.0,True,3,2001
63,2001-04-30,584301.0,True,4,2001
64,2001-05-31,590710.0,True,5,2001
65,2001-06-30,596706.0,True,6,2001
66,2001-07-31,599876.0,True,7,2001
67,2001-08-31,602535.0,True,8,2001
68,2001-09-30,605907.0,True,9,2001
69,2001-10-31,610551.0,True,10,2001
70,2001-11-30,615389.0,True,11,2001
71,2001-12-31,618811.0,False,12,2001
72,2002-01-31,621376.0,False,1,2002
73,2002-02-28,623951.0,False,2,2002
74,2002-03-31,627538.0,False,3,2002
75,2002-04-30,630028.0,False,4,2002
76,2002-05-31,632219.0,False,5,2002
77,2002-06-30,633851.0,False,6,2002
78,2002-07-31,637358.0,False,7,2002
79,2002-08-31,641671.0,False,8,2002
80,2002-09-30,646869.0,False,9,2002
81,2002-10-31,651247.0,False,10,2002
82,2002-11-30,654117.0,False,11,2002
83,2002-12-31,657354.0,False,12,2002
84,2003-01-31,661655.0,False,1,2003
85,2003-02-28,667259.0,False,2,2003
86,2003-03-31,671731.0,False,3,2003
87,2003-04-30,675615.0,False,4,2003
88,2003-05-31,677975.0,False,5,2003
89,2003-06-30,679519.0,False,6,2003
90,2003-07-31,681847.0,False,7,2003
91,2003-08-31,683516.0,False,8,2003
92,2003-09-30,685454.0,False,9,2003
93,2003-10-31,687313.0,False,10,2003
94,2003-11-30,690349.0,False,11,2003
95,2003-12-31,693456.0,False,12,2003
96,2004-01-31,696863.0,False,1,2004
97,2004-02-29,699686.0,False,2,2004
98,2004-03-31,702546.0,False,3,2004
99,2004-04-30,706404.0,False,4,2004
100,2004-05-31,710605.0,False,5,2004
101,2004-06-30,716388.0,False,6,2004
102,2004-07-31,719987.0,False,7,2004
103,2004-08-31,725568.0,False,8,2004
104,2004-09-30,729289.0,False,9,2004
105,2004-10-31,734203.0,False,10,2004
106,2004-11-30,738410.0,False,11,2004
107,2004-12-31,742394.0,False,12,2004
108,2005-01-31,745175.0,False,1,2005
109,2005-02-28,747289.0,False,2,2005
110,2005-03-31,749909.0,False,3,2005
111,2005-04-30,753332.0,False,4,2005
112,2005-05-31,758258.0,False,5,2005
113,2005-06-30,763599.0,False,6,2005
114,2005-07-31,770331.0,False,7,2005
115,2005-08-31,774453.0,False,8,2005
116,2005-09-30,780990.0,False,9,2005
117,2005-10-31,785887.0,False,10,2005
118,2005-11-30,791690.0,False,11,2005
119,2005-12-31,797036.0,False,12,2005
120,2006-01-31,801919.0,False,1,2006
121,2006-02-28,808507.0,False,2,2006
122,2006-03-31,813689.0,False,3,2006
123,2006-04-30,817822.0,False,4,2006
124,2006-05-31,819215.0,False,5,2006
125,2006-06-30,819990.0,False,6,2006
126,2006-07-31,820578.0,False,7,2006
127,2006-08-31,822835.0,False,8,2006
128,2006-09-30,823724.0,False,9,2006
129,2006-10-31,825613.0,False,10,2006
130,2006-11-30,827190.0,False,11,2006
131,2006-12-31,830642.0,False,12,2006
132,2007-01-31,834991.0,False,1,2007
133,2007-02-28,839632.0,False,2,2007
134,2007-03-31,838913.0,False,3,2007
135,2007-04-30,832676.0,False,4,2007
136,2007-05-31,822457.0,False,5,2007
137,2007-06-30,817481.0,False,6,2007
138,2007-07-31,813709.0,False,7,2007
139,2007-08-31,814399.0,False,8,2007
140,2007-09-30,811942.0,False,9,2007
141,2007-10-31,813746.0,False,10,2007
142,2007-11-30,813588.0,False,11,2007
143,2007-12-31,813233.0,True,12,2007
144,2008-01-31,815886.0,True,1,2008
145,2008-02-29,809620.0,True,2,2008
146,2008-03-31,815778.0,True,3,2008
147,2008-04-30,823018.0,True,4,2008
148,2008-05-31,845605.0,True,5,2008
149,2008-06-30,851350.0,True,6,2008
150,2008-07-31,856806.0,True,7,2008
151,2008-08-31,848552.0,True,8,2008
152,2008-09-30,852159.0,True,9,2008
153,2008-10-31,843612.0,True,10,2008
154,2008-11-30,840997.0,True,11,2008
155,2008-12-31,828139.0,True,12,2008
156,2009-01-31,815325.0,True,1,2009
157,2009-02-28,807622.0,True,2,2009
158,2009-03-31,798451.0,True,3,2009
159,2009-04-30,792903.0,True,4,2009
160,2009-05-31,779800.0,True,5,2009
161,2009-06-30,774825.0,True,6,2009
162,2009-07-31,773865.0,False,7,2009
163,2009-08-31,778198.0,False,8,2009
164,2009-09-30,773736.0,False,9,2009
165,2009-10-31,774100.0,False,10,2009
166,2009-11-30,770117.0,False,11,2009
167,2009-12-31,778577.0,False,12,2009
168,2010-01-31,777921.0,False,1,2010
169,2010-02-28,783991.0,False,2,2010
170,2010-03-31,776389.0,False,3,2010
171,2010-04-30,778115.0,False,4,2010
172,2010-05-31,769572.0,False,5,2010
173,2010-06-30,770941.0,False,6,2010
174,2010-07-31,757033.0,False,7,2010
175,2010-08-31,750316.0,False,8,2010
176,2010-09-30,741088.0,False,9,2010
177,2010-10-31,740114.0,False,10,2010
178,2010-11-30,734538.0,False,11,2010
179,2010-12-31,729667.0,False,12,2010
180,2011-01-31,727589.0,False,1,2011
181,2011-02-28,726194.0,False,2,2011
182,2011-03-31,727039.0,False,3,2011
183,2011-04-30,720532.0,False,4,2011
184,2011-05-31,721699.0,False,5,2011
185,2011-06-30,716609.0,False,6,2011
186,2011-07-31,724273.0,False,7,2011
187,2011-08-31,723099.0,False,8,2011
188,2011-09-30,727835.0,False,9,2011
189,2011-10-31,718041.0,False,10,2011
190,2011-11-30,719749.0,False,11,2011
191,2011-12-31,713023.0,False,12,2011
192,2012-01-31,714298.0,False,1,2012
193,2012-02-29,704955.0,False,2,2012
194,2012-03-31,709954.0,False,3,2012
195,2012-04-30,712416.0,False,4,2012
196,2012-05-31,718089.0,False,5,2012
197,2012-06-30,718558.0,False,6,2012
198,2012-07-31,717683.0,False,7,2012
199,2012-08-31,723137.0,False,8,2012
200,2012-09-30,726277.0,False,9,2012
201,2012-10-31,737971.0,False,10,2012
202,2012-11-30,745064.0,False,11,2012
203,2012-12-31,754067.0,False,12,2012
204,2013-01-31,761983.0,False,1,2013
205,2013-02-28,772125.0,False,2,2013
206,2013-03-31,776892.0,False,3,2013
207,2013-04-30,784229.0,False,4,2013
208,2013-05-31,789135.0,False,5,2013
209,2013-06-30,801414.0,False,6,2013
210,2013-07-31,812254.0,False,7,2013
211,2013-08-31,823212.0,False,8,2013
212,2013-09-30,829826.0,False,9,2013
213,2013-10-31,838731.0,False,10,2013
214,2013-11-30,842199.0,False,11,2013
215,2013-12-31,848918.0,False,12,2013
216,2014-01-31,849820.0,False,1,2014
217,2014-02-28,856248.0,False,2,2014
218,2014-03-31,857728.0,False,3,2014
219,2014-04-30,857500.0,False,4,2014
220,2014-05-31,858850.0,False,5,2014
221,2014-06-30,862410.0,False,6,2014
222,2014-07-31,864457.0,False,7,2014
223,2014-08-31,862003.0,False,8,2014
224,2014-09-30,865106.0,False,9,2014
225,2014-10-31,868136.0,False,10,2014
226,2014-11-30,873930.0,False,11,2014
227,2014-12-31,878722.0,False,12,2014
228,2015-01-31,883958.0,False,1,2015
229,2015-02-28,887873.0,False,2,2015
230,2015-03-31,893539.0,False,3,2015
231,2015-04-30,903862.0,False,4,2015
232,2015-05-31,912966.0,False,5,2015
233,2015-06-30,915000.0,False,6,2015
234,2015-07-31,916602.0,False,7,2015
235,2015-08-31,920152.0,False,8,2015
236,2015-09-30,923585.0,False,9,2015
237,2015-10-31,923550.0,False,10,2015
238,2015-11-30,923075.0,False,11,2015
239,2015-12-31,925654.0,False,12,2015
240,2016-01-31,930198.0,False,1,2016
241,2016-02-29,937742.0,False,2,2016
242,2016-03-31,940712.0,False,3,2016
243,2016-04-30,939954.0,False,4,2016
244,2016-05-31,937810.0,False,5,2016
245,2016-06-30,939442.0,False,6,2016
246,2016-07-31,944959.0,False,7,2016
247,2016-08-31,948398.0,False,8,2016
248,2016-09-30,948848.0,False,9,2016
249,2016-10-31,951644.0,False,10,2016
250,2016-11-30,957481.0,False,11,2016
251,2016-12-31,958178.0,False,12,2016
252,2017-01-31,956528.0,False,1,2017
253,2017-02-28,951529.0,False,2,2017
254,2017-03-31,955244.0,False,3,2017
255,2017-04-30,958096.0,False,4,2017
256,2017-05-31,959882.0,False,5,2017
257,2017-06-30,958726.0,False,6,2017
258,2017-07-31,956879.0,False,7,2017
259,2017-08-31,958371.0,False,8,2017
260,2017-09-30,961171.0,False,9,2017
261,2017-10-31,960878.0,False,10,2017
262,2017-11-30,957985.0,False,11,2017
263,2017-12-31,958428.0,False,12,2017
264,2018-01-31,964051.0,False,1,2018
265,2018-02-28,969547.0,False,2,2018
266,2018-03-31,968807.0,False,3,2018
267,2018-04-30,968566.0,False,4,2018
268,2018-05-31,969572.0,False,5,2018
269,2018-06-30,972936.0,False,6,2018
270,2018-07-31,973010.0,False,7,2018
271,2018-08-31,972447.0,False,8,2018
272,2018-09-30,972684.0,False,9,2018
273,2018-10-31,975094.0,False,10,2018
274,2018-11-30,978629.0,False,11,2018
275,2018-12-31,981362.0,False,12,2018
276,2019-01-31,979667.0,False,1,2019
277,2019-02-28,976810.0,False,2,2019
278,2019-03-31,975419.0,False,3,2019
279,2019-04-30,975366.0,False,4,2019
280,2019-05-31,975741.0,False,5,2019
281,2019-06-30,974693.0,False,6,2019
282,2019-07-31,975616.0,False,7,2019
283,2019-08-31,975734.0,False,8,2019
284,2019-09-30,975251.0,False,9,2019
285,2019-10-31,974238.0,False,10,2019
286,2019-11-30,973104.0,False,11,2019
287,2019-12-31,971908.0,False,12,2019
288,2020-01-31,972038.0,True,1,2020
289,2020-02-29,973671.0,True,2,2020
290,2020-03-31,975642.0,True,3,2020
